t,y1,y2
5.335570469798657456e+00,7.541594060311560987e+00,2.325021106906704382e+00
5.436241610738254515e+00,6.548107631569548559e+00,3.514477897258567296e+00
5.536912751677851574e+00,5.032483596049917907e+00,4.665161811512561485e+00
5.637583892617449521e+00,3.524955803430635637e+00,5.294320674643147484e+00
5.738255033557046580e+00,2.398534685108515863e+00,5.254342375660566944e+00
5.838926174496643640e+00,1.680972739362437851e+00,4.755965545082701418e+00
5.939597315436241587e+00,1.252984086459950186e+00,4.068075764674834893e+00
6.040268456375838646e+00,1.002702372017011179e+00,3.365462819694529983e+00
6.140939597315435705e+00,8.586404397337945582e-01,2.730704963403045138e+00
6.241610738255032764e+00,7.801027271663600882e-01,2.191526638549552430e+00
6.342281879194630712e+00,7.446114969133086348e-01,1.748982693253800846e+00
6.442953020134227771e+00,7.398031961586681859e-01,1.393079719269977090e+00
6.543624161073824830e+00,7.589469183929214990e-01,1.110445611538153798e+00
6.644295302013422777e+00,7.985574778225499326e-01,8.877925778491747577e-01
6.744966442953019836e+00,8.571226040953169312e-01,7.133041198655711845e-01
6.845637583892616895e+00,9.344157225160055757e-01,5.770412566971823143e-01
6.946308724832213954e+00,1.031121444229466277e+00,4.709109747619437680e-01
7.046979865771811902e+00,1.148632610846494151e+00,3.884609957595391849e-01
7.147651006711408961e+00,1.288944139148183954e+00,3.246264147735033467e-01
7.248322147651006020e+00,1.454602347931052808e+00,2.754854580381531082e-01
7.348993288590603967e+00,1.648685056916625813e+00,2.380484901836949774e-01
7.449664429530201026e+00,1.874795198900987891e+00,2.100891941798528617e-01
7.550335570469798085e+00,2.137052273080591203e+00,1.900211771348061240e-01
7.651006711409395145e+00,2.440062394065118045e+00,1.768233825144545912e-01
7.751677852348993092e+00,2.788837474622534174e+00,1.700226854528870124e-01
7.852348993288590151e+00,3.188612775093706553e+00,1.697534335287732565e-01
7.953020134228187210e+00,3.644469820633803536e+00,1.769364195590078237e-01
8.053691275167784269e+00,4.160587758002465719e+00,1.936651564636449052e-01
8.154362416107382217e+00,4.738777301856488933e+00,2.239794485839028959e-01
8.255033557046980164e+00,5.375610263749680762e+00,2.753930773059030113e-01
8.355704697986576335e+00,6.056788390657129817e+00,3.619030428994406412e-01
8.456375838926174282e+00,6.746232723174306223e+00,5.097816879294659875e-01
8.557046979865770453e+00,7.366187625323049382e+00,7.677003739082355338e-01
8.657718120805368400e+00,7.767716562473359510e+00,1.219090199610110004e+00
8.758389261744966348e+00,7.715262629896342261e+00,1.974635323579132073e+00
8.859060402684562519e+00,6.975696830922927028e+00,3.077494125738167163e+00
8.959731543624160466e+00,5.591106378053950721e+00,4.300105184166827854e+00
9.060402684563758413e+00,4.020165784359583938e+00,5.152849084518980938e+00
9.161073825503354584e+00,2.742175768762384003e+00,5.335324650237287969e+00
9.261744966442952531e+00,1.892397170346071356e+00,4.964250074569980242e+00
9.362416107382550479e+00,1.377694575216532158e+00,4.317155980434936424e+00
9.463087248322146650e+00,1.075352639834913582e+00,3.606364272929080350e+00
9.563758389261744597e+00,9.000161960464684308e-01,2.942635350539001493e+00
9.664429530201342544e+00,8.018179298005788658e-01,2.368955229597374590e+00
9.765100671140938715e+00,7.530617609322076689e-01,1.893381411446774631e+00
9.865771812080536662e+00,7.385028368713816294e-01,1.508605222297847659e+00
9.966442953020132833e+00,7.497911431674910698e-01,1.201886600091467194e+00
1.006711409395973078e+01,7.824926592888912236e-01,9.596749855418233999e-01
1.016778523489932873e+01,8.345051506627608751e-01,7.695578982690789438e-01
1.026845637583892490e+01,9.052067536102164080e-01,6.209279396054820932e-01
1.036912751677852285e+01,9.949929902145460137e-01,5.050640850440480945e-01
1.046979865771812079e+01,1.105024746993445994e+00,4.149678435089456108e-01
1.057046979865771696e+01,1.237094185137633584e+00,3.451177191068360295e-01
1.067114093959731491e+01,1.393558065196967011e+00,2.912178348318530952e-01
1.077181208053691286e+01,1.577309277494125306e+00,2.499737674914993268e-01
1.087248322147650903e+01,1.791767482013342461e+00,2.189084521238417735e-01
1.097315436241610698e+01,2.040873208139531325e+00,1.962226125977910296e-01
1.107382550335570315e+01,2.329068049915930416e+00,1.807025029710227770e-01
1.117449664429530110e+01,2.661236023965607878e+00,1.716809947683355098e-01
1.127516778523489904e+01,3.042564499345617346e+00,1.690668453510004443e-01
1.137583892617449521e+01,3.478249836372234505e+00,1.734748690657125503e-01
1.147651006711409316e+01,3.972906967506387055e+00,1.865252863569716313e-01
1.157718120805369111e+01,4.529410074593779534e+00,2.114523404568375009e-01
1.167785234899328728e+01,5.146624505356696133e+00,2.543084623866838645e-01
1.177852348993288523e+01,5.814957714067930716e+00,3.263399014215326299e-01
1.187919463087248317e+01,6.507674159425421045e+00,4.486181393997280553e-01
1.197986577181207934e+01,7.164569268929088963e+00,6.605329675709470383e-01
1.208053691275167729e+01,7.665153261002689788e+00,1.032288931932676013e+00
1.218120805369127524e+01,7.802254609971040367e+00,1.669408031291557570e+00
1.228187919463087141e+01,7.319576902762573667e+00,2.658372698825425928e+00
1.238255033557046936e+01,6.126819045964622568e+00,3.887627393782266960e+00
1.248322147651006553e+01,4.555156656510777502e+00,4.924755966478351787e+00
1.258389261744966348e+01,3.140297398527430950e+00,5.347249322326626420e+00
1.268456375838926142e+01,2.144932580448156489e+00,5.139565312474313252e+00
1.278523489932885759e+01,1.528016403161972958e+00,4.559403276733075216e+00
1.288590604026845554e+01,1.163237570834023460e+00,3.853626598219376032e+00
1.298657718120805349e+01,9.506485992731158463e-01,3.165892133865859659e+00
1.308724832214764966e+01,8.294830714417954498e-01,2.558528256049481531e+00
1.318791946308724761e+01,7.656421880509096667e-01,2.048945430029847081e+00
1.328859060402684555e+01,7.403351260845058013e-01,1.633696941279504822e+00
1.338926174496644173e+01,7.432383296700449948e-01,1.301217950522600697e+00
1.348993288590603967e+01,7.687805397820396403e-01,1.037922034037120689e+00
1.359060402684563584e+01,8.141681756596276243e-01,8.308765778589901618e-01
1.369127516778523379e+01,8.783288703199423342e-01,6.688128653172799032e-01
1.379194630872483174e+01,9.613389732472225058e-01,5.423604230496251732e-01
1.389261744966442791e+01,1.064111420048390544e+00,4.439438379711945215e-01
1.399328859060402586e+01,1.188227698390798226e+00,3.675539585917148577e-01
1.409395973154362380e+01,1.335851686985447984e+00,3.084932425994281191e-01
1.419463087248321997e+01,1.509690334747445517e+00,2.631398951276100462e-01
1.429530201342281792e+01,1.712979455268316853e+00,2.287489867746240746e-01
1.439597315436241587e+01,1.949478395635203753e+00,2.032970086405339605e-01
1.449664429530201204e+01,2.223457400573217946e+00,1.853726354710885094e-01
1.459731543624160999e+01,2.539656190623236220e+00,1.741180461330923968e-01
1.469798657718120793e+01,2.903179375546108609e+00,1.692317803463932735e-01
1.479865771812080411e+01,3.319268125509019729e+00,1.710581685149955844e-01
1.489932885906040205e+01,3.792835689341159888e+00,1.808162879172136861e-01
1.500000000000000000e+01,4.327550951864782114e+00,2.010774450065416774e-01
