t,y1,y2
6.321070234113712161e+00,1.452788047049916598e+00,-1.281527890594927055e-01
6.421404682274247655e+00,1.439777607427730866e+00,-1.312261260236990412e-01
6.521739130434783149e+00,1.426447052192315601e+00,-1.345386144302958831e-01
6.622073578595317755e+00,1.412770838699237252e+00,-1.381220010215466198e-01
6.722408026755853250e+00,1.398719947349894577e+00,-1.420140659828242613e-01
6.822742474916387856e+00,1.384261203739835411e+00,-1.462601355955687465e-01
6.923076923076923350e+00,1.369356426345907707e+00,-1.509150722521367116e-01
7.023411371237457956e+00,1.353961343209184376e+00,-1.560459258000006788e-01
7.123745819397993451e+00,1.338024198632384865e+00,-1.617355150901926275e-01
7.224080267558528945e+00,1.321483937882556248e+00,-1.680873395718245622e-01
7.324414715719063551e+00,1.304267808134994100e+00,-1.752324274990711139e-01
7.424749163879599045e+00,1.286288137735891457e+00,-1.833390602993446306e-01
7.525083612040133652e+00,1.267437936375951590e+00,-1.926268630170812901e-01
7.625418060200669146e+00,1.247584766464708173e+00,-2.033876861911753930e-01
7.725752508361204640e+00,1.226562018475660709e+00,-2.160173418735021056e-01
7.826086956521739246e+00,1.204156181520890323e+00,-2.310652239654962525e-01
7.926421404682274741e+00,1.180087745092345708e+00,-2.493144288808525344e-01
8.026755852842809347e+00,1.153981614722568549e+00,-2.719159741062448510e-01
8.127090301003343953e+00,1.125319559623910282e+00,-3.006233977417280823e-01
8.227424749163880335e+00,1.093360410286356332e+00,-3.382236427391952516e-01
8.327759197324414941e+00,1.056999126550540957e+00,-3.893761546083016611e-01
8.428093645484949548e+00,1.014502205780545729e+00,-4.623656694853265359e-01
8.528428093645485930e+00,9.629724015963383454e-01,-5.730904386363241398e-01
8.628762541806020536e+00,8.971602378401000166e-01,-7.551533624173104586e-01
8.729096989966555142e+00,8.064933208768665374e-01,-1.089059195903594901e+00
8.829431438127089748e+00,6.664207806843049919e-01,-1.802265704131697621e+00
8.929765886287626131e+00,4.078857767854279781e-01,-3.682691492485304696e+00
9.030100334448160737e+00,-2.032466848260052195e-01,-9.554963929632869224e+00
9.130434782608695343e+00,-1.474453159587241435e+00,-1.152844423154322584e+01
9.230769230769231726e+00,-1.985793076540264490e+00,-1.041701886731685400e+00
9.331103678929766332e+00,-2.014236284909423969e+00,1.307877391325876215e-02
9.431438127090300938e+00,-2.009268182854352158e+00,6.357828957809177894e-02
9.531772575250835544e+00,-2.002701626096384135e+00,6.627839358902415379e-02
9.632107023411371927e+00,-1.996025121912297529e+00,6.675842216145741470e-02
9.732441471571906533e+00,-1.989307802903721445e+00,6.713886361175594453e-02
9.832775919732441139e+00,-1.982552345140144112e+00,6.752097071293694519e-02
9.933110367892977521e+00,-1.975758213990173262e+00,6.790990385577487520e-02
1.003344481605351213e+01,-1.968924695456706120e+00,6.830613686167193166e-02
1.013377926421404673e+01,-1.962051044450227266e+00,6.870991806731353846e-02
1.023411371237458134e+01,-1.955136491331769033e+00,6.912149443263546078e-02
1.033444816053511772e+01,-1.948180241140772928e+00,6.954112370411087707e-02
1.043478260869565233e+01,-1.941181472453509915e+00,6.996907570699864576e-02
1.053511705685618693e+01,-1.934139336145519916e+00,7.040563311381138611e-02
1.063545150501672332e+01,-1.927052954060348933e+00,7.085109224189829746e-02
1.073578595317725792e+01,-1.919921417571944788e+00,7.130576392290667587e-02
1.083612040133779253e+01,-1.912743786109756261e+00,7.176997441790339272e-02
1.093645484949832891e+01,-1.905519085550988700e+00,7.224406641767069925e-02
1.103678929765886352e+01,-1.898246306522549887e+00,7.272840011801945392e-02
1.113712374581939812e+01,-1.890924402584637454e+00,7.322335438541138775e-02
1.123745819397993273e+01,-1.883552288294465749e+00,7.372932801755162358e-02
1.133779264214046911e+01,-1.876128837139222627e+00,7.424674110873477617e-02
1.143812709030100372e+01,-1.868652879326366367e+00,7.477603653084803625e-02
1.153846153846153832e+01,-1.861123199418635688e+00,7.531768154199892928e-02
1.163879598662207471e+01,-1.853538533800354937e+00,7.587216953589924484e-02
1.173913043478260931e+01,-1.845897567960768537e+00,7.644002194640370229e-02
1.183946488294314392e+01,-1.838198933579229033e+00,7.702179032298184236e-02
1.193979933110367853e+01,-1.830441205391715620e+00,7.761805859677220476e-02
1.204013377926421491e+01,-1.822622897826318811e+00,7.822944555552061030e-02
1.214046822742474951e+01,-1.814742461347868874e+00,7.885660756821558093e-02
1.224080267558528412e+01,-1.806798278561881688e+00,7.950024154630207229e-02
1.234113712374582050e+01,-1.798788659997696771e+00,8.016108820335136886e-02
1.244147157190635511e+01,-1.790711839489056434e+00,8.083993567230902955e-02
1.254180602006688972e+01,-1.782565969279837237e+00,8.153762342556959697e-02
1.264214046822742432e+01,-1.774349114603579691e+00,8.225504667404819059e-02
1.274247491638796070e+01,-1.766059247905561458e+00,8.299316115672566996e-02
1.284280936454849531e+01,-1.757694242452178202e+00,8.375298851641831133e-02
1.294314381270902992e+01,-1.749251865467118972e+00,8.453562220185108222e-02
1.304347826086956630e+01,-1.740729770593251402e+00,8.534223405740704038e-02
1.314381270903010090e+01,-1.732125489650948147e+00,8.617408166902959521e-02
1.324414715719063551e+01,-1.723436423643606386e+00,8.703251654477778265e-02
1.334448160535117012e+01,-1.714659832883734136e+00,8.791899327096708294e-02
1.344481605351170650e+01,-1.705792826142963126e+00,8.883507977857202365e-02
1.354515050167224111e+01,-1.696832348711626581e+00,8.978246887728816295e-02
1.364548494983277571e+01,-1.687775169238026729e+00,9.076299124053680001e-02
1.374581939799331209e+01,-1.678617865159887534e+00,9.177863008483203022e-02
1.384615384615384670e+01,-1.669356806591147491e+00,9.283153777034094944e-02
1.394648829431438131e+01,-1.659988138443098338e+00,9.392405463932329557e-02
1.404682274247491591e+01,-1.650507760468987728e+00,9.505873051211689850e-02
1.414715719063545230e+01,-1.640911305093654349e+00,9.623834915572954118e-02
1.424749163879598690e+01,-1.631194112520922834e+00,9.746595639329967697e-02
1.434782608695652151e+01,-1.621351202885319642e+00,9.874489234803437987e-02
1.444816053511705789e+01,-1.611377244895903837e+00,1.000788286522808906e-01
1.454849498327759250e+01,-1.601266520465145504e+00,1.014718115082797328e-01
1.464882943143812710e+01,-1.591012884681621831e+00,1.029283117074288462e-01
1.474916387959866171e+01,-1.580609720365341087e+00,1.044532829609726016e-01
1.484949832775919809e+01,-1.570049886261239980e+00,1.060522302399498767e-01
1.494983277591973270e+01,-1.559325657827687950e+00,1.077312901218450830e-01
1.505016722408026730e+01,-1.548428659217937264e+00,1.094973257842982023e-01
1.515050167224080369e+01,-1.537349784895168714e+00,1.113580397789709492e-01
1.525083612040133829e+01,-1.526079108854602850e+00,1.133221086727370652e-01
1.535117056856187290e+01,-1.514605779042704103e+00,1.153993446350352614e-01
1.545150501672240928e+01,-1.502917893949222039e+00,1.176008905035796914e-01
1.555183946488294389e+01,-1.491002357581481252e+00,1.199394567550101653e-01
1.565217391304347849e+01,-1.478844708155197196e+00,1.224296111910539719e-01
1.575250836120401310e+01,-1.466428914467344802e+00,1.250881356420959212e-01
1.585284280936454948e+01,-1.453737132377942665e+00,1.279344684045981562e-01
1.595317725752508409e+01,-1.440749411550599879e+00,1.309912575035490911e-01
1.605351170568561869e+01,-1.427443339805261280e+00,1.342850583487375515e-01
1.615384615384615330e+01,-1.413793608336136431e+00,1.378472217420767254e-01
1.625418060200668791e+01,-1.399771475753203154e+00,1.417150353180538225e-01
1.635451505016722606e+01,-1.385344101320139076e+00,1.459332065786673738e-01
1.645484949832776067e+01,-1.370473707240931871e+00,1.505558121753944600e-01
1.655518394648829528e+01,-1.355116514788673454e+00,1.556488924505269322e-01
1.665551839464882988e+01,-1.339221377259367296e+00,1.612939525252286843e-01
1.675585284280936449e+01,-1.322728000627740430e+00,1.675927580487711344e-01
1.685618729096989910e+01,-1.305564594628956465e+00,1.746740132513179833e-01
1.695652173913043370e+01,-1.287644723160599858e+00,1.827028303102172790e-01
1.705685618729097186e+01,-1.268863007419986921e+00,1.918944288984657798e-01
1.715719063545150647e+01,-1.249089149786837272e+00,2.025344031429234803e-01
1.725752508361204107e+01,-1.228159440678856074e+00,2.150094628031274935e-01
